Age,Gender,Academic_Level,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Conflicts_Over_Social_Media,Addicted_Score,Age_Group,Country,Relationship_Status
19,Female,High School,,TikTok,Yes,5.4,5,4,8,15-19,Slovenia,In Relationship
22,Male,Graduate,,LinkedIn,No,7.2,8,1,4,20-24,Bulgaria,Single
20,Female,Undergraduate,,Instagram,Yes,5.9,6,3,7,20-24,Estonia,Complicated
18,Male,High School,,Snapchat,Yes,5.5,5,4,8,15-19,Latvia,Single
21,Female,Graduate,,Facebook,No,6.8,7,2,5,20-24,Lithuania,In Relationship
19,Male,Undergraduate,,TikTok,Yes,5.7,6,3,7,15-19,Ukraine,Complicated
20,Female,Undergraduate,,Instagram,Yes,5.3,5,4,8,20-24,Moldova,Single
23,Male,Graduate,,LinkedIn,No,7.3,8,1,4,20-24,Belarus,In Relationship
21,Female,Undergraduate,,Snapchat,Yes,5.8,6,3,7,20-24,Kazakhstan,Single
19,Male,High School,,TikTok,Yes,5.4,5,4,8,15-19,Uzbekistan,Complicated
22,Female,Graduate,,Facebook,No,7.0,7,2,5,20-24,Kyrgyzstan,In Relationship
20,Male,Undergraduate,,YouTube,Yes,5.9,6,3,7,20-24,Tajikistan,Single
18,Female,High School,,Instagram,Yes,5.2,5,4,9,15-19,Armenia,Complicated
21,Male,Graduate,,LinkedIn,No,7.1,8,1,4,20-24,Georgia,In Relationship
19,Female,Undergraduate,,TikTok,Yes,5.7,6,3,7,15-19,Azerbaijan,Single
20,Male,Undergraduate,,Facebook,No,6.6,7,2,6,20-24,Cyprus,Complicated
22,Female,Graduate,,LinkedIn,No,7.2,8,1,4,20-24,Malta,In Relationship
18,Male,High School,,Snapchat,Yes,5.3,5,4,8,15-19,Luxembourg,Single
21,Female,Undergraduate,,Instagram,Yes,5.8,6,3,7,20-24,Monaco,Complicated
19,Male,High School,,TikTok,Yes,5.5,5,4,8,15-19,Andorra,In Relationship
23,Female,Graduate,,LinkedIn,No,7.3,8,1,4,20-24,San Marino,Single
20,Male,Undergraduate,,YouTube,Yes,6.0,6,3,7,20-24,Vatican City,Complicated
18,Female,High School,,Instagram,Yes,5.2,5,4,9,15-19,Liechtenstein,Single
22,Male,Graduate,,Facebook,No,7.0,7,2,5,20-24,Montenegro,In Relationship
19,Female,Undergraduate,,TikTok,Yes,5.8,6,3,7,15-19,Albania,Complicated
21,Male,Undergraduate,,Snapchat,No,6.5,7,2,6,20-24,North Macedonia,Single
20,Female,High School,,Instagram,Yes,5.4,5,4,8,20-24,Kosovo,In Relationship
23,Male,Graduate,,LinkedIn,No,7.4,8,1,4,20-24,Bosnia,Complicated
19,Female,Undergraduate,,TikTok,Yes,5.7,6,3,7,15-19,Qatar,Single
18,Male,High School,,Snapchat,Yes,5.3,5,4,8,15-19,Kuwait,In Relationship
22,Female,Graduate,,LinkedIn,No,7.1,8,1,4,20-24,Bahrain,Complicated
20,Male,Undergraduate,,Instagram,Yes,5.9,6,3,7,20-24,Oman,Single
21,Female,Undergraduate,,TikTok,Yes,5.5,5,4,8,20-24,Jordan,In Relationship
19,Male,High School,,YouTube,Yes,5.2,5,4,9,15-19,Lebanon,Complicated
23,Female,Graduate,,LinkedIn,No,7.3,8,1,4,20-24,Iraq,Single
20,Male,Undergraduate,,Facebook,Yes,5.8,6,3,7,20-24,Yemen,In Relationship
18,Female,High School,,Instagram,Yes,5.4,5,4,8,15-19,Syria,Single
22,Male,Graduate,,LinkedIn,No,7.0,7,2,5,20-24,Afghanistan,Complicated
19,Female,Undergraduate,,TikTok,Yes,5.7,6,3,7,15-19,Pakistan,In Relationship
21,Male,Undergraduate,,YouTube,No,6.6,7,2,6,20-24,Nepal,Single
20,Female,High School,,Snapchat,Yes,5.5,5,4,8,20-24,Bhutan,Complicated
23,Male,Graduate,,LinkedIn,No,7.2,8,1,4,20-24,Sri Lanka,In Relationship
19,Female,Undergraduate,,Instagram,Yes,5.8,6,3,7,15-19,Maldives,Single
20,Male,Undergraduate,,Instagram,Yes,6.2,5,4,8,20-24,Bangladesh,Single
21,Female,Undergraduate,,TikTok,Yes,5.9,6,3,7,20-24,India,In Relationship
19,Male,Undergraduate,,Facebook,No,7.1,7,2,5,15-19,Nepal,Single
22,Female,Graduate,,Instagram,Yes,6.0,5,4,8,20-24,Pakistan,Single
20,Male,Undergraduate,,TikTok,Yes,6.3,6,3,7,20-24,Sri Lanka,In Relationship
19,Female,Undergraduate,,Instagram,No,7.2,8,2,5,15-19,Maldives,Single
21,Male,Graduate,,Facebook,Yes,5.8,5,4,8,20-24,Bangladesh,In Relationship
20,Female,Undergraduate,,Instagram,Yes,6.1,6,3,7,20-24,India,Single
22,Male,Graduate,,TikTok,No,7.3,7,2,5,20-24,Nepal,Single
19,Female,Undergraduate,,Instagram,Yes,6.2,5,4,8,15-19,Pakistan,In Relationship
20,Male,Undergraduate,,Facebook,Yes,5.9,6,3,7,20-24,Sri Lanka,Single
21,Female,Graduate,,Instagram,No,7.4,8,2,5,20-24,Maldives,In Relationship
19,Male,Undergraduate,,TikTok,Yes,6.3,5,4,8,15-19,Bangladesh,Single
22,Female,Graduate,,Instagram,Yes,5.8,6,3,7,20-24,India,In Relationship
20,Male,Undergraduate,,Facebook,No,7.5,7,2,5,20-24,Nepal,Single
21,Female,Graduate,,Instagram,Yes,6.4,5,4,8,20-24,Pakistan,In Relationship
19,Male,Undergraduate,,TikTok,Yes,5.7,6,3,7,15-19,Sri Lanka,Single
20,Female,Undergraduate,,Instagram,No,7.6,8,2,5,20-24,Maldives,In Relationship
22,Male,Graduate,,Facebook,Yes,6.5,5,4,8,20-24,Bangladesh,Single
21,Female,Graduate,,Instagram,Yes,5.6,6,3,7,20-24,India,In Relationship
19,Male,Undergraduate,,TikTok,No,7.7,7,2,5,15-19,Nepal,Single
20,Female,Undergraduate,,Instagram,Yes,6.6,5,4,8,20-24,Pakistan,In Relationship
22,Male,Graduate,,Facebook,Yes,5.5,6,3,7,20-24,Sri Lanka,Single
21,Female,Graduate,,Instagram,No,7.8,8,2,5,20-24,Maldives,In Relationship
19,Male,Undergraduate,,TikTok,Yes,6.7,5,4,8,15-19,Bangladesh,Single
20,Female,Undergraduate,,Instagram,Yes,5.4,6,3,7,20-24,India,In Relationship
22,Male,Graduate,,Facebook,No,7.9,7,2,5,20-24,Nepal,Single
21,Female,Graduate,,Instagram,Yes,6.8,5,4,8,20-24,Pakistan,In Relationship
19,Male,Undergraduate,,TikTok,Yes,5.3,6,3,7,15-19,Sri Lanka,Single
20,Female,Undergraduate,,Instagram,No,8.0,8,2,5,20-24,Maldives,In Relationship
22,Male,Graduate,,Facebook,Yes,6.9,5,4,8,20-24,Bangladesh,Single
21,Female,Graduate,,Instagram,Yes,5.2,6,3,7,20-24,India,In Relationship
19,Male,Undergraduate,,TikTok,No,8.1,7,2,5,15-19,Nepal,Single
20,Female,Undergraduate,,Instagram,Yes,7.0,5,4,8,20-24,Pakistan,In Relationship
22,Male,Graduate,,Facebook,Yes,5.1,6,3,7,20-24,Sri Lanka,Single
21,Female,Graduate,,Instagram,No,8.2,8,2,5,20-24,Maldives,In Relationship
19,Male,Undergraduate,,TikTok,Yes,7.1,5,4,8,15-19,Bangladesh,Single
20,Female,Undergraduate,,Instagram,Yes,5.0,6,3,7,20-24,India,In Relationship
22,Male,Graduate,,Facebook,No,8.3,7,2,5,20-24,Nepal,Single
21,Female,Graduate,,Instagram,Yes,7.2,5,4,8,20-24,Pakistan,In Relationship
19,Male,Undergraduate,,TikTok,Yes,4.9,6,3,7,15-19,Sri Lanka,Single
20,Female,Undergraduate,,Instagram,No,8.4,8,2,5,20-24,Maldives,In Relationship
22,Male,Graduate,,Facebook,Yes,7.3,5,4,8,20-24,Bangladesh,Single
21,Female,Graduate,,Instagram,Yes,4.8,6,3,7,20-24,India,In Relationship
19,Male,Undergraduate,,TikTok,No,8.5,7,2,5,15-19,Nepal,Single
20,Female,Undergraduate,,Instagram,Yes,7.4,5,4,8,20-24,Pakistan,In Relationship
22,Male,Graduate,,Facebook,Yes,4.7,6,3,7,20-24,Sri Lanka,Single
21,Female,Graduate,,Instagram,No,8.6,8,2,5,20-24,Maldives,In Relationship
19,Male,Undergraduate,,TikTok,Yes,7.5,5,4,8,15-19,Bangladesh,Single
20,Female,Undergraduate,,Instagram,Yes,4.6,6,3,7,20-24,India,In Relationship
19,Female,Undergraduate,,Instagram,Yes,6.1,5,3,7,15-19,Bangladesh,Single
21,Male,Graduate,,Facebook,No,7.2,7,2,6,20-24,India,In Relationship
20,Female,Undergraduate,,TikTok,Yes,5.9,6,4,8,20-24,Nepal,Single
22,Male,Graduate,,Instagram,Yes,6.3,5,3,7,20-24,Pakistan,In Relationship
19,Female,Undergraduate,,Facebook,No,7.0,7,2,5,15-19,Sri Lanka,Single
21,Male,Graduate,,TikTok,Yes,6.0,6,4,8,20-24,Maldives,In Relationship
20,Female,Undergraduate,,Instagram,Yes,6.4,5,3,7,20-24,Bangladesh,Single
22,Male,Graduate,,Facebook,No,7.1,7,2,6,20-24,India,In Relationship
19,Female,Undergraduate,,TikTok,Yes,5.8,6,4,8,15-19,Nepal,Single
21,Male,Graduate,,Instagram,Yes,6.5,5,3,7,20-24,Pakistan,In Relationship
20,Female,Undergraduate,,Facebook,No,7.3,7,2,5,20-24,Sri Lanka,Single
22,Male,Graduate,,TikTok,Yes,5.7,6,4,8,20-24,Maldives,In Relationship
19,Female,Undergraduate,,Instagram,Yes,6.6,5,3,7,15-19,Bangladesh,Single
21,Male,Graduate,,Facebook,No,7.4,7,2,6,20-24,India,In Relationship
20,Female,Undergraduate,,TikTok,Yes,5.6,6,4,8,20-24,Nepal,Single
22,Male,Graduate,,Instagram,Yes,6.7,5,3,7,20-24,Pakistan,In Relationship
19,Female,Undergraduate,,Facebook,No,7.5,7,2,5,15-19,Sri Lanka,Single
21,Male,Graduate,,TikTok,Yes,5.5,6,4,8,20-24,Maldives,In Relationship
20,Female,Undergraduate,,Instagram,Yes,6.8,5,3,7,20-24,Bangladesh,Single
22,Male,Graduate,,Facebook,No,7.6,7,2,6,20-24,India,In Relationship
19,Female,Undergraduate,,TikTok,Yes,5.4,6,4,8,15-19,Nepal,Single
21,Male,Graduate,,Instagram,Yes,6.9,5,3,7,20-24,Pakistan,In Relationship
20,Female,Undergraduate,,Facebook,No,7.7,7,2,5,20-24,Sri Lanka,Single
22,Male,Graduate,,TikTok,Yes,5.3,6,4,8,20-24,Maldives,In Relationship
19,Female,Undergraduate,,Instagram,Yes,7.0,5,3,7,15-19,Bangladesh,Single
21,Male,Graduate,,Facebook,No,7.8,7,2,6,20-24,India,In Relationship
20,Female,Undergraduate,,TikTok,Yes,5.2,6,4,8,20-24,Nepal,Single
22,Male,Graduate,,Instagram,Yes,7.1,5,3,7,20-24,Pakistan,In Relationship
19,Female,Undergraduate,,Facebook,No,7.9,7,2,5,15-19,Sri Lanka,Single
21,Male,Graduate,,TikTok,Yes,5.1,6,4,8,20-24,Maldives,In Relationship
20,Female,Undergraduate,,Instagram,Yes,7.2,5,3,7,20-24,Bangladesh,Single
22,Male,Graduate,,Facebook,No,8.0,7,2,6,20-24,India,In Relationship
19,Female,Undergraduate,,TikTok,Yes,5.0,6,4,8,15-19,Nepal,Single
21,Male,Graduate,,Instagram,Yes,7.3,5,3,7,20-24,Pakistan,In Relationship
20,Female,Undergraduate,,Facebook,No,8.1,7,2,5,20-24,Sri Lanka,Single
22,Male,Graduate,,TikTok,Yes,4.9,6,4,8,20-24,Maldives,In Relationship
19,Female,Undergraduate,,Instagram,Yes,7.4,5,3,7,15-19,Bangladesh,Single
21,Male,Graduate,,Facebook,No,8.2,7,2,6,20-24,India,In Relationship
20,Female,Undergraduate,,TikTok,Yes,4.8,6,4,8,20-24,Nepal,Single
22,Male,Graduate,,Instagram,Yes,7.5,5,3,7,20-24,Pakistan,In Relationship
19,Female,Undergraduate,,Facebook,No,8.3,7,2,5,15-19,Sri Lanka,Single
21,Male,Graduate,,TikTok,Yes,4.7,6,4,8,20-24,Maldives,In Relationship
20,Female,Undergraduate,,Instagram,Yes,7.6,5,3,7,20-24,Bangladesh,Single
22,Male,Graduate,,Facebook,No,8.4,7,2,6,20-24,India,In Relationship
19,Female,Undergraduate,,TikTok,Yes,4.6,6,4,8,15-19,Nepal,Single
21,Male,Graduate,,Instagram,Yes,7.7,5,3,7,20-24,Pakistan,In Relationship
20,Female,Undergraduate,,Facebook,No,8.5,7,2,5,20-24,Sri Lanka,Single
22,Male,Graduate,,TikTok,Yes,4.5,6,4,8,20-24,Maldives,In Relationship
19,Female,Undergraduate,,Instagram,Yes,7.8,5,3,7,15-19,Bangladesh,Single
21,Male,Graduate,,Facebook,No,8.6,7,2,6,20-24,India,In Relationship
20,Female,Undergraduate,,TikTok,Yes,4.4,6,4,8,20-24,Nepal,Single
22,Male,Graduate,,Instagram,Yes,7.9,5,3,7,20-24,Pakistan,In Relationship
19,Female,Undergraduate,,Facebook,No,8.7,7,2,5,15-19,Sri Lanka,Single
21,Male,Graduate,,TikTok,Yes,4.3,6,4,8,20-24,Maldives,In Relationship
20,Female,Undergraduate,,Instagram,Yes,8.0,5,3,7,20-24,Bangladesh,Single
22,Male,Graduate,,Facebook,No,8.8,7,2,6,20-24,India,In Relationship
19,Female,Undergraduate,,TikTok,Yes,4.2,6,4,8,15-19,Nepal,Single
21,Male,Graduate,,Instagram,Yes,8.1,5,3,7,20-24,Pakistan,In Relationship
20,Female,Undergraduate,,Facebook,No,8.9,7,2,5,20-24,Sri Lanka,Single
22,Male,Graduate,,TikTok,Yes,4.1,6,4,8,20-24,Maldives,In Relationship
19,Female,Undergraduate,,Instagram,Yes,6.0,5,4,9,15-19,USA,Single
21,Male,Graduate,,TikTok,Yes,6.5,6,3,7,20-24,UK,In Relationship
20,Female,Undergraduate,,Instagram,No,7.5,8,2,5,20-24,Australia,Single
22,Male,Graduate,,Facebook,No,7.8,7,2,4,20-24,Germany,In Relationship
19,Female,Undergraduate,,LINE,No,7.9,8,1,3,15-19,Japan,Single
21,Male,Graduate,,Instagram,Yes,6.8,6,3,7,20-24,Italy,Single
20,Female,Undergraduate,,KakaoTalk,Yes,6.5,6,3,6,20-24,South Korea,In Relationship
22,Male,Graduate,,VKontakte,No,7.2,7,2,5,20-24,Russia,Single
19,Female,Undergraduate,,TikTok,Yes,5.8,4,4,9,15-19,USA,In Relationship
21,Male,Graduate,,Instagram,Yes,6.7,6,3,7,20-24,UK,Single
20,Female,Undergraduate,,Facebook,No,7.4,7,2,5,20-24,Australia,In Relationship
22,Male,Graduate,,Instagram,No,7.9,8,1,4,20-24,Germany,Single
19,Female,Undergraduate,,LINE,No,8.0,8,1,3,15-19,Japan,Single
21,Male,Graduate,,TikTok,Yes,6.5,5,3,8,20-24,Italy,In Relationship
20,Female,Undergraduate,,KakaoTalk,Yes,6.8,6,3,6,20-24,South Korea,Single
22,Male,Graduate,,VKontakte,No,7.4,7,2,5,20-24,Russia,In Relationship
19,Female,Undergraduate,,Instagram,Yes,5.9,4,4,9,15-19,USA,Single
21,Male,Graduate,,Facebook,Yes,6.6,6,3,7,20-24,UK,In Relationship
20,Female,Undergraduate,,Instagram,No,7.3,7,2,5,20-24,Australia,Single
22,Male,Graduate,,Facebook,No,7.7,8,2,4,20-24,Germany,In Relationship
19,Female,Undergraduate,,LINE,No,7.8,8,1,3,15-19,Japan,Single
21,Male,Graduate,,Instagram,Yes,6.7,5,3,7,20-24,Italy,Single
20,Female,Undergraduate,,KakaoTalk,Yes,6.6,6,3,6,20-24,South Korea,In Relationship
22,Male,Graduate,,VKontakte,No,7.3,7,2,5,20-24,Russia,Single
19,Female,Undergraduate,,TikTok,Yes,5.7,4,4,9,15-19,USA,In Relationship
21,Male,Graduate,,Instagram,Yes,6.4,6,3,7,20-24,UK,Single
20,Female,Undergraduate,,Facebook,No,7.2,7,2,5,20-24,Australia,In Relationship
22,Male,Graduate,,Instagram,No,7.8,8,1,4,20-24,Germany,Single
19,Female,Undergraduate,,LINE,No,8.1,8,1,3,15-19,Japan,Single
21,Male,Graduate,,TikTok,Yes,6.6,5,3,8,20-24,Italy,In Relationship
20,Female,Undergraduate,,KakaoTalk,Yes,6.9,6,3,6,20-24,South Korea,Single
22,Male,Graduate,,VKontakte,No,7.5,7,2,5,20-24,Russia,In Relationship
19,Female,Undergraduate,,Instagram,Yes,5.8,4,4,9,15-19,USA,Single
21,Male,Graduate,,Facebook,Yes,6.5,6,3,7,20-24,UK,In Relationship
20,Female,Undergraduate,,Instagram,No,7.4,7,2,5,20-24,Australia,Single
22,Male,Graduate,,Facebook,No,7.6,8,2,4,20-24,Germany,In Relationship
19,Female,Undergraduate,,LINE,No,8.2,8,1,3,15-19,Japan,Single
21,Male,Graduate,,Instagram,Yes,6.8,5,3,7,20-24,Italy,Single
20,Female,Undergraduate,,KakaoTalk,Yes,6.7,6,3,6,20-24,South Korea,In Relationship
22,Male,Graduate,,VKontakte,No,7.6,7,2,5,20-24,Russia,Single
19,Female,Undergraduate,,TikTok,Yes,5.6,4,4,9,15-19,USA,In Relationship
21,Male,Graduate,,Instagram,Yes,6.3,6,3,7,20-24,UK,Single
20,Female,Undergraduate,,Facebook,No,7.5,7,2,5,20-24,Australia,In Relationship
22,Male,Graduate,,Instagram,No,7.7,8,1,4,20-24,Germany,Single
19,Female,Undergraduate,,LINE,No,8.3,8,1,3,15-19,Japan,Single
21,Male,Graduate,,TikTok,Yes,6.9,5,3,8,20-24,Italy,In Relationship
20,Female,Undergraduate,,KakaoTalk,Yes,7.0,6,3,6,20-24,South Korea,Single
22,Male,Graduate,,VKontakte,No,7.7,7,2,5,20-24,Russia,In Relationship
19,Female,Undergraduate,,Instagram,Yes,5.7,4,4,9,15-19,USA,Single
21,Male,Graduate,,Facebook,Yes,6.4,6,3,7,20-24,UK,In Relationship
20,Female,Undergraduate,,Instagram,No,7.3,7,2,5,20-24,Australia,Single
22,Male,Graduate,,Facebook,No,7.8,8,1,4,20-24,Germany,In Relationship
19,Female,Undergraduate,,LINE,No,8.4,8,1,3,15-19,Japan,Single
21,Male,Graduate,,Instagram,Yes,6.7,5,3,7,20-24,Italy,Single
20,Female,Undergraduate,,KakaoTalk,Yes,7.1,6,3,6,20-24,South Korea,In Relationship
22,Male,Graduate,,VKontakte,No,7.8,7,2,5,20-24,Russia,Single
19,Female,Undergraduate,,TikTok,Yes,5.5,4,4,9,15-19,USA,In Relationship
21,Male,Graduate,,Instagram,Yes,6.5,6,3,7,20-24,UK,Single
20,Female,Undergraduate,,Facebook,No,7.4,7,2,5,20-24,Australia,In Relationship
22,Male,Graduate,,Instagram,No,7.9,8,1,4,20-24,Germany,Single
19,Female,Undergraduate,,LINE,No,8.5,8,1,3,15-19,Japan,Single
21,Male,Graduate,,TikTok,Yes,6.8,5,3,8,20-24,Italy,In Relationship
20,Female,Undergraduate,,KakaoTalk,Yes,7.2,6,3,6,20-24,South Korea,Single
22,Male,Graduate,,VKontakte,No,7.9,7,2,5,20-24,Russia,In Relationship
19,Female,Undergraduate,,Instagram,Yes,5.4,4,4,9,15-19,USA,Single
21,Male,Graduate,,Facebook,Yes,6.6,6,3,7,20-24,UK,In Relationship
20,Female,Undergraduate,,Instagram,No,7.5,7,2,5,20-24,Australia,Single
22,Male,Graduate,,Facebook,No,8.0,8,1,4,20-24,Germany,In Relationship
19,Female,Undergraduate,,LINE,No,8.6,8,1,3,15-19,Japan,Single
21,Male,Graduate,,Instagram,Yes,6.9,5,3,7,20-24,Italy,Single
20,Female,Undergraduate,,KakaoTalk,Yes,7.3,6,3,6,20-24,South Korea,In Relationship
22,Male,Graduate,,VKontakte,No,8.0,7,2,5,20-24,Russia,Single
19,Female,Undergraduate,,TikTok,Yes,5.3,4,4,9,15-19,USA,In Relationship
21,Male,Graduate,,Instagram,Yes,6.7,6,3,7,20-24,UK,Single
20,Female,Undergraduate,,Facebook,No,7.6,7,2,5,20-24,Australia,In Relationship
22,Male,Graduate,,Instagram,No,8.1,8,1,4,20-24,Germany,Single
19,Female,Undergraduate,,LINE,No,8.7,8,1,3,15-19,Japan,Single
21,Male,Graduate,,TikTok,Yes,7.0,5,3,8,20-24,Italy,In Relationship
20,Female,Undergraduate,,KakaoTalk,Yes,7.4,6,3,6,20-24,South Korea,Single
22,Male,Graduate,,VKontakte,No,8.1,7,2,5,20-24,Russia,In Relationship
19,Female,Undergraduate,,Instagram,Yes,5.2,4,4,9,15-19,USA,Single
21,Male,Graduate,,Facebook,Yes,6.8,6,3,7,20-24,UK,In Relationship
20,Female,Undergraduate,,Instagram,No,7.7,7,2,5,20-24,Australia,Single
22,Male,Graduate,,Facebook,No,8.2,8,1,4,20-24,Germany,In Relationship
19,Female,Undergraduate,,LINE,No,8.8,8,1,3,15-19,Japan,Single
21,Male,Graduate,,Instagram,Yes,7.1,5,3,7,20-24,Italy,Single
20,Female,Undergraduate,,KakaoTalk,Yes,7.5,6,3,6,20-24,South Korea,In Relationship
22,Male,Graduate,,VKontakte,No,8.2,7,2,5,20-24,Russia,Single
19,Female,Undergraduate,,TikTok,Yes,5.1,4,4,9,15-19,USA,In Relationship
21,Male,Graduate,,Instagram,Yes,6.9,6,3,7,20-24,UK,Single
20,Female,Undergraduate,,Facebook,No,7.8,7,2,5,20-24,Australia,In Relationship
22,Male,Graduate,,Instagram,No,8.3,8,1,4,20-24,Germany,Single
19,Female,Undergraduate,,LINE,No,8.9,8,1,3,15-19,Japan,Single
21,Male,Graduate,,TikTok,Yes,7.2,5,3,8,20-24,Italy,In Relationship
20,Female,Undergraduate,,KakaoTalk,Yes,7.6,6,3,6,20-24,South Korea,Single
